

*******************************************************************************
Ephemeris / WWW_USER Sat Nov 22 14:10:22 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 153814 (2001 WN5)               {source: JPL#194}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2028-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2028-Dec-30 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458083.5 ! 2017-Nov-26.00 (TDB)         Residual RMS= .21941        
   EC= .4669729312323679   QR= .9124751621924232   TP= 2457895.4428082719      
   OM= 277.5057205071764   W=  44.56461706945646   IN= 1.919764913833357       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.676694576041798E-01  Y= 1.791601297305704E+00  Z= 7.800061671072777E-01
  VX=-1.054047314943854E-02 VY= 3.991332353811014E-03 VZ= 1.368748066788809E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= .466               ROTPER= 4.253               
   H= 18.28                G= .150                 B-V= n.a.                   
                           ALBEDO= .097            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461773.208333333, A.D. 2028-Jan-02 17:00:00.0000, -3.106475277626932E+08, -7.742435001237899E+06, -1.465946031389057E+07,  8.453547965955174E+00, -1.498026265484370E+01, -6.263314104001652E+00,
2461773.250000000, A.D. 2028-Jan-02 18:00:00.0000, -3.106170861177287E+08, -7.796363724477819E+06, -1.468200782523198E+07,  8.458477155535833E+00, -1.498013899672173E+01, -6.263081015481070E+00,
2461773.291666667, A.D. 2028-Jan-02 19:00:00.0000, -3.105866267261557E+08, -7.850292000947371E+06, -1.470455449669725E+07,  8.463407193096616E+00, -1.498001444933235E+01, -6.262847506246501E+00,
2461773.333333333, A.D. 2028-Jan-02 20:00:00.0000, -3.105561495849208E+08, -7.904219827444929E+06, -1.472710032677167E+07,  8.468338078874956E+00, -1.497988901220084E+01, -6.262613576081184E+00,
2461773.375000000, A.D. 2028-Jan-02 21:00:00.0000, -3.105256546909696E+08, -7.958147200767153E+06, -1.474964531393974E+07,  8.473269813108320E+00, -1.497976268485217E+01, -6.262379224768200E+00,
2461773.416666667, A.D. 2028-Jan-02 22:00:00.0000, -3.104951420412478E+08, -8.012074117707229E+06, -1.477218945668445E+07,  8.478202396034062E+00, -1.497963546681091E+01, -6.262144452090477E+00,
2461773.458333333, A.D. 2028-Jan-02 23:00:00.0000, -3.104646116326996E+08, -8.066000575058398E+06, -1.479473275348873E+07,  8.483135827889733E+00, -1.497950735760127E+01, -6.261909257830774E+00,
2461773.500000000, A.D. 2028-Jan-03 00:00:00.0000, -3.104340634622679E+08, -8.119926569612182E+06, -1.481727520283475E+07,  8.488070108912924E+00, -1.497937835674712E+01, -6.261673641771688E+00,
2461773.541666667, A.D. 2028-Jan-03 01:00:00.0000, -3.104034975268961E+08, -8.173852098156627E+06, -1.483981680320315E+07,  8.493005239341105E+00, -1.497924846377194E+01, -6.261437603695666E+00,
2461773.583333333, A.D. 2028-Jan-03 02:00:00.0000, -3.103729138235253E+08, -8.227777157479830E+06, -1.486235755307452E+07,  8.497941219411949E+00, -1.497911767819885E+01, -6.261201143384981E+00,
2461773.625000000, A.D. 2028-Jan-03 03:00:00.0000, -3.103423123490963E+08, -8.281701744368165E+06, -1.488489745092866E+07,  8.502878049363167E+00, -1.497898599955061E+01, -6.260964260621751E+00,
2461773.666666667, A.D. 2028-Jan-03 04:00:00.0000, -3.103116931005496E+08, -8.335625855604527E+06, -1.490743649524387E+07,  8.507815729432346E+00, -1.497885342734963E+01, -6.260726955187936E+00,
2461773.708333333, A.D. 2028-Jan-03 05:00:00.0000, -3.102810560748242E+08, -8.389549487971853E+06, -1.492997468449838E+07,  8.512754259857283E+00, -1.497871996111792E+01, -6.260489226865327E+00,
2461773.750000000, A.D. 2028-Jan-03 06:00:00.0000, -3.102504012688578E+08, -8.443472638251361E+06, -1.495251201716966E+07,  8.517693640875802E+00, -1.497858560037716E+01, -6.260251075435557E+00,
