

*******************************************************************************
Ephemeris / WWW_USER Tue Nov 18 10:42:00 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2031-Dec-30 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462870.625000000, A.D. 2031-Jan-04 03:00:00.0000, -3.335736971382271E+07,  1.314448127350513E+08,  5.697745247669943E+07, -2.948877854116116E+01, -6.307516378580323E+00, -2.732808404261713E+00,
2462870.666666667, A.D. 2031-Jan-04 04:00:00.0000, -3.346352017652884E+07,  1.314220703023864E+08,  5.696759903747925E+07, -2.948369821260799E+01, -6.327167782382191E+00, -2.741324228154475E+00,
2462870.708333333, A.D. 2031-Jan-04 05:00:00.0000, -3.356965232275989E+07,  1.313992571317223E+08,  5.695771494418541E+07, -2.947860272272100E+01, -6.346815266067230E+00, -2.749838444805292E+00,
2462870.750000000, A.D. 2031-Jan-04 06:00:00.0000, -3.367576609794635E+07,  1.313763732371813E+08,  5.694780020260809E+07, -2.947349207777176E+01, -6.366458824244272E+00, -2.758351051926082E+00,
2462870.791666667, A.D. 2031-Jan-04 07:00:00.0000, -3.378186144754126E+07,  1.313534186329048E+08,  5.693785481854572E+07, -2.946836628400441E+01, -6.386098451535356E+00, -2.766862047230553E+00,
2462870.833333333, A.D. 2031-Jan-04 08:00:00.0000, -3.388793831702007E+07,  1.313303933330538E+08,  5.692787879780496E+07, -2.946322534763582E+01, -6.405734142575866E+00, -2.775371428434255E+00,
2462870.875000000, A.D. 2031-Jan-04 09:00:00.0000, -3.399399665188055E+07,  1.313072973518082E+08,  5.691787214620066E+07, -2.945806927485561E+01, -6.425365892014637E+00, -2.783879193254637E+00,
2462870.916666667, A.D. 2031-Jan-04 10:00:00.0000, -3.410003639764272E+07,  1.312841307033676E+08,  5.690783486955592E+07, -2.945289807182629E+01, -6.444993694514085E+00, -2.792385339411099E+00,
2462870.958333333, A.D. 2031-Jan-04 11:00:00.0000, -3.420605749984876E+07,  1.312608934019504E+08,  5.689776697370202E+07, -2.944771174468323E+01, -6.464617544750324E+00, -2.800889864625054E+00,
2462871.000000000, A.D. 2031-Jan-04 12:00:00.0000, -3.431205990406284E+07,  1.312375854617945E+08,  5.688766846447848E+07, -2.944251029953478E+01, -6.484237437413305E+00, -2.809392766619972E+00,
2462871.041666667, A.D. 2031-Jan-04 13:00:00.0000, -3.441804355587111E+07,  1.312142068971565E+08,  5.687753934773296E+07, -2.943729374246226E+01, -6.503853367206913E+00, -2.817894043121438E+00,
2462871.083333333, A.D. 2031-Jan-04 14:00:00.0000, -3.452400840088152E+07,  1.311907577223124E+08,  5.686737962932132E+07, -2.943206207951999E+01, -6.523465328849107E+00, -2.826393691857204E+00,
2462871.125000000, A.D. 2031-Jan-04 15:00:00.0000, -3.462995438472384E+07,  1.311672379515569E+08,  5.685718931510764E+07, -2.942681531673537E+01, -6.543073317072032E+00, -2.834891710557233E+00,
2462871.166666667, A.D. 2031-Jan-04 16:00:00.0000, -3.473588145304941E+07,  1.311436475992038E+08,  5.684696841096408E+07, -2.942155346010878E+01, -6.562677326622143E+00, -2.843388096953753E+00,
2462871.208333333, A.D. 2031-Jan-04 17:00:00.0000, -3.484178955153118E+07,  1.311199866795859E+08,  5.683671692277105E+07, -2.941627651561371E+01, -6.582277352260312E+00, -2.851882848781301E+00,
2462871.250000000, A.D. 2031-Jan-04 18:00:00.0000, -3.494767862586352E+07,  1.310962552070545E+08,  5.682643485641705E+07, -2.941098448919663E+01, -6.601873388761955E+00, -2.860375963776774E+00,
2462871.291666667, A.D. 2031-Jan-04 19:00:00.0000, -3.505354862176219E+07,  1.310724531959800E+08,  5.681612221779877E+07, -2.940567738677707E+01, -6.621465430917144E+00, -2.868867439679464E+00,
2462871.333333333, A.D. 2031-Jan-04 20:00:00.0000, -3.515939948496419E+07,  1.310485806607514E+08,  5.680577901282098E+07, -2.940035521424752E+01, -6.641053473530715E+00, -2.877357274231112E+00,
2462871.375000000, A.D. 2031-Jan-04 21:00:00.0000, -3.526523116122768E+07,  1.310246376157763E+08,  5.679540524739663E+07, -2.939501797747346E+01, -6.660637511422383E+00, -2.885845465175943E+00,
2462871.416666667, A.D. 2031-Jan-04 22:00:00.0000, -3.537104359633191E+07,  1.310006240754810E+08,  5.678500092744674E+07, -2.938966568229327E+01, -6.680217539426848E+00, -2.894332010260706E+00,
2462871.458333333, A.D. 2031-Jan-04 23:00:00.0000, -3.547683673607709E+07,  1.309765400543104E+08,  5.677456605890048E+07, -2.938429833451822E+01, -6.699793552393901E+00, -2.902816907234715E+00,
2462871.500000000, A.D. 2031-Jan-05 00:00:00.0000, -3.558261052628426E+07,  1.309523855667280E+08,  5.676410064769509E+07, -2.937891593993236E+01, -6.719365545188536E+00, -2.911300153849883E+00,
2462871.541666667, A.D. 2031-Jan-05 01:00:00.0000, -3.568836491279533E+07,  1.309281606272154E+08,  5.675360469977589E+07, -2.937351850429251E+01, -6.738933512691029E+00, -2.919781747860761E+00,
2462871.583333333, A.D. 2031-Jan-05 02:00:00.0000, -3.579409984147279E+07,  1.309038652502731E+08,  5.674307822109631E+07, -2.936810603332815E+01, -6.758497449797066E+00, -2.928261687024564E+00,
